_id,Year_Month,Card_type,Travel_Mode,Trip
235,Jan-2017,Adult Single Bus Trip 3,Bus,46161
236,Jan-2017,Child/Youth,Bus,1405219
237,Jan-2017,Child/Youth Single Bus Trip 1,Bus,66323
238,Jan-2017,Child/Youth Single Bus Trip 2,Bus,53334
239,Jan-2017,Child/Youth Single Bus Trip 3,Bus,18050
240,Jan-2017,Concession,Bus,985862
241,Jan-2017,Employee,Bus,66458
242,Jan-2017,Free Travel,Bus,31281
243,Jan-2017,School Student,Bus,168257
244,Jan-2017,Senior/Pensioner,Bus,3752674
245,Jan-2017,Adult,Ferry,1164945
246,Jan-2017,Child/Youth,Ferry,217918
247,Jan-2017,Concession,Ferry,28552
248,Jan-2017,Employee,Ferry,5959
249,Jan-2017,Free Travel,Ferry,2234
250,Jan-2017,School Student,Ferry,139
251,Jan-2017,Senior/Pensioner,Ferry,220534
252,Jan-2017,Sgl Trip Ferry Adult,Ferry,76631
253,Jan-2017,Sgl Trip Ferry Child/Youth,Ferry,21171
254,Jan-2017,Adult,Light Rail,313530
255,Jan-2017,Child/Youth,Light Rail,33524
256,Jan-2017,Concession,Light Rail,14678
257,Jan-2017,Free Travel,Light Rail,394
258,Jan-2017,School Student,Light Rail,323
259,Jan-2017,Senior/Pensioner,Light Rail,63828
260,Jan-2017,Sgl Trip LR Adult,Light Rail,1986
261,Jan-2017,Sgl Trip LR Child/Youth,Light Rail,735
262,Jan-2017,Adult,Train,20689527
263,Jan-2017,Child/Youth,Train,1485300
264,Jan-2017,Concession,Train,1255327
265,Jan-2017,Employee,Train,259349
266,Jan-2017,Free Travel,Train,26745
267,Jan-2017,School Student,Train,67891
268,Jan-2017,Senior/Pensioner,Train,2566223
269,Jan-2017,Sgl Trip Rail Adult,Train,299852
270,Jan-2017,Sgl Trip Rail Child/Youth,Train,85208
271,Feb-2017,Adult,Bus,13182869
272,Feb-2017,Adult Single Bus Trip 1,Bus,167293
273,Feb-2017,Adult Single Bus Trip 2,Bus,104008
274,Feb-2017,Adult Single Bus Trip 3,Bus,39559
275,Feb-2017,Child/Youth,Bus,1166175
276,Feb-2017,Child/Youth Single Bus Trip 1,Bus,39460
277,Feb-2017,Child/Youth Single Bus Trip 2,Bus,26163
278,Feb-2017,Child/Youth Single Bus Trip 3,Bus,7942
279,Feb-2017,Concession,Bus,1240006
280,Feb-2017,Employee,Bus,69228
281,Feb-2017,Free Travel,Bus,33326
282,Feb-2017,School Student,Bus,2600682
283,Feb-2017,Senior/Pensioner,Bus,3857972
284,Feb-2017,Adult,Ferry,865014
285,Feb-2017,Child/Youth,Ferry,57121
286,Feb-2017,Concession,Ferry,23803
287,Feb-2017,Employee,Ferry,4826
288,Feb-2017,Free Travel,Ferry,1897
289,Feb-2017,School Student,Ferry,1914
290,Feb-2017,Senior/Pensioner,Ferry,169864
291,Feb-2017,Sgl Trip Ferry Adult,Ferry,56176
292,Feb-2017,Sgl Trip Ferry Child/Youth,Ferry,5700
293,Feb-2017,Adult,Light Rail,545607
294,Feb-2017,Child/Youth,Light Rail,32626
295,Feb-2017,Concession,Light Rail,28344
296,Feb-2017,Free Travel,Light Rail,697
297,Feb-2017,School Student,Light Rail,6101
298,Feb-2017,Senior/Pensioner,Light Rail,124005
299,Feb-2017,Sgl Trip LR Adult,Light Rail,2500
300,Feb-2017,Sgl Trip LR Child/Youth,Light Rail,428
301,Feb-2017,Adult,Train,21960594
302,Feb-2017,Child/Youth,Train,977309
303,Feb-2017,Concession,Train,1527275
304,Feb-2017,Employee,Train,287362
305,Feb-2017,Free Travel,Train,30092
306,Feb-2017,School Student,Train,1028738
307,Feb-2017,Senior/Pensioner,Train,2620981
308,Feb-2017,Sgl Trip Rail Adult,Train,288914
309,Feb-2017,Sgl Trip Rail Child/Youth,Train,45771
310,Mar-2017,Adult,Bus,15239178
311,Mar-2017,Adult Single Bus Trip 1,Bus,177223
312,Mar-2017,Adult Single Bus Trip 2,Bus,109926
313,Mar-2017,Adult Single Bus Trip 3,Bus,42288
314,Mar-2017,Child/Youth,Bus,1229286
315,Mar-2017,Child/Youth Single Bus Trip 1,Bus,43347
316,Mar-2017,Child/Youth Single Bus Trip 2,Bus,26923
317,Mar-2017,Child/Youth Single Bus Trip 3,Bus,8514
318,Mar-2017,Concession,Bus,2375998
319,Mar-2017,Employee,Bus,78376
320,Mar-2017,Free Travel,Bus,38557
321,Mar-2017,School Student,Bus,3137115
322,Mar-2017,Senior/Pensioner,Bus,4304384
323,Mar-2017,Adult,Ferry,882559
324,Mar-2017,Child/Youth,Ferry,63608
325,Mar-2017,Concession,Ferry,29447
326,Mar-2017,Employee,Ferry,4894
327,Mar-2017,Free Travel,Ferry,1857
328,Mar-2017,School Student,Ferry,2069
329,Mar-2017,Senior/Pensioner,Ferry,169605
330,Mar-2017,Sgl Trip Ferry Adult,Ferry,55429
331,Mar-2017,Sgl Trip Ferry Child/Youth,Ferry,6774
332,Mar-2017,Adult,Light Rail,639505
333,Mar-2017,Child/Youth,Light Rail,35233
334,Mar-2017,Concession,Light Rail,36897
335,Mar-2017,Free Travel,Light Rail,906
336,Mar-2017,School Student,Light Rail,7282
337,Mar-2017,Senior/Pensioner,Light Rail,151966
338,Mar-2017,Sgl Trip LR Adult,Light Rail,2833
339,Mar-2017,Sgl Trip LR Child/Youth,Light Rail,440
340,Mar-2017,Adult,Train,25670277
341,Mar-2017,Child/Youth,Train,1061092
342,Mar-2017,Concession,Train,2874972
343,Mar-2017,Employee,Train,331728
344,Mar-2017,Free Travel,Train,34502
345,Mar-2017,School Student,Train,1236042
346,Mar-2017,Senior/Pensioner,Train,2983728
347,Mar-2017,Sgl Trip Rail Adult,Train,320440
348,Mar-2017,Sgl Trip Rail Child/Youth,Train,53604
349,Apr-2017,Adult,Bus,12477134
350,Apr-2017,Adult Single Bus Trip 1,Bus,158538
